seller_id,late_count,late_rate,avg_delay,total_orders
17a053fcb14bd219540cbde0df490be0,8,5.405405405405405,-9.42,124
01fdefa7697d26ad920e9e0346d4bd1b,7,5.384615384615385,-12.99,128
09f952a5f58d2285b0372551ae8f9b01,3,5.357142857142857,-11.41,50
d650b663c3b5f6fb392b6326366efa9a,3,5.263157894736842,-10.89,57
5dceca129747e92ff8ef7a997dc4f8ca,18,5.247813411078718,-10.61,322
bfd27a966d91cfaafdb25d076585f0da,6,5.217391304347826,-14.83,114
7a67c85e85bb2ce8582c35f2203ad736,60,5.194805194805195,-11.16,1145
1f9ab4708f3056ede07124aad39a2554,4,5.194805194805195,-12.82,76
45d33f715e24d15a6ccf5c17b3a23e3c,3,5.172413793103448,-11.3,56
d9a84e1403de8da0c3aa531d6d108ba6,3,5.172413793103448,-9.24,53
dc317f341ab0e22f39acbd9dbf9b4a1f,3,5.172413793103448,-14.45,55
08633c14ef2db992c11f840f04fad4cd,5,5.154639175257731,-11.13,74
001cca7ae9ae17fb1caed9dfb1094831,12,5.128205128205128,-12.57,195
a17f621c590ea0fab3d5d883e1630ec6,4,5.128205128205128,-9.84,63
cc419e0650a3c5ba77189a1882b7556a,88,5.119255381035486,-12.35,1651
6560211a19b47992c3666cc44a7e94c0,102,5.110220440881764,-11.01,1819
b6d44737c043328708f6749c2dbe50bd,4,5.063291139240507,-13.66,61
c70c1b0d8ca86052f45a432a38b73958,17,5.059523809523809,-8.4,260
fa40cc5b934574b62717c68f3d678b6d,17,5.044510385756676,-10.69,304
f8db351d8c4c4c22c6835c19a46f01b0,36,5.042016806722689,-11.03,659
c003204e1ab016dfa150abc119207b24,10,5.0,-10.89,195
8cbac7e12637ed9cffa18c7875207478,4,4.938271604938271,-13.37,66
8f119a0aee85c0c8fc534629734e94fd,4,4.938271604938271,-10.1,75
a1043bafd471dff536d0c462352beb48,37,4.920212765957447,-11.8,702
d9bd94811c3338dceb4181f3dbc0c73e,3,4.918032786885246,-7.85,54
ceaec5548eefc6e23e6607c5435102e7,10,4.854368932038835,-14.53,198
d2374cbcbb3ca4ab1086534108cc3ab7,30,4.838709677419355,-14.76,514
4830e40640734fc1c52cd21127c341d4,10,4.716981132075472,-10.46,204
850f4f8af5ea87287ac68de36e29107f,9,4.712041884816754,-14.09,186
53e4c6e0f4312d4d2107a8c9cddf45cd,24,4.6875,-12.72,463
18a349e75d307f4b4cc646a691ed4216,6,4.6875,-14.1,109
7e93a43ef30c4f03f38b393420bc753a,15,4.658385093167702,-11.49,319
670c26e0f1bf8d0576271d5cfaec6d2b,4,4.651162790697675,-13.01,77
44073f8b7e41514de3b7815dd0237f4f,7,4.635761589403973,-15.13,142
01cf7e3d21494c41fb86034f2e714fa1,3,4.615384615384616,-14.51,59
0c8380b62e38e8a1e6adbeba7eb9688c,10,4.587155963302752,-11.81,180
05d2173d43ea568aa0540eba70d2ca76,3,4.545454545454546,-10.89,62
2138ccb85b11a4ec1e37afbd1c8eda1f,19,4.534606205250596,-12.04,388
cca3071e3e9bb7d12640c9fbe2301306,37,4.528763769889841,-14.62,699
7d456afc660226829370f3173d14520c,4,4.49438202247191,-11.93,55
